Country,Total,Employment_Age,Employed,Employed_percent,Canton,Date
Afghanistan,387,228,78,0.34210526315789475,BE,2022-02
China (Volksrepublik),73,51,36,0.70588235294117652,BE,2022-02
Irak,159,91,36,0.39560439560439559,BE,2022-02
Iran,151,106,51,0.48113207547169812,BE,2022-02
Sri Lanka,568,391,254,0.64961636828644498,BE,2022-02
Syrien,1699,945,344,0.36402116402116402,BE,2022-02
Türkei,798,534,118,0.22097378277153559,BE,2022-02
Gesamttotal,1637,1001,417,0.41658341658341658,BL,2022-02
Äthiopien,15,11,4,0.36363636363636365,BL,2022-02
Eritrea,738,434,211,0.48617511520737328,BL,2022-02
Somalia,22,15,5,0.33333333333333331,BL,2022-02
Afghanistan,41,33,15,0.45454545454545453,BL,2022-02
China (Volksrepublik),20,15,8,0.53333333333333333,BL,2022-02
Irak,56,31,11,0.35483870967741937,BL,2022-02
Iran,31,24,10,0.41666666666666669,BL,2022-02
Sri Lanka,151,106,68,0.64150943396226412,BL,2022-02
Syrien,382,219,63,0.28767123287671231,BL,2022-02
Türkei,120,78,14,0.17948717948717949,BL,2022-02
Gesamttotal,1070,656,229,0.34908536585365851,BS,2022-02
Äthiopien,9,5,2,0.4,BS,2022-02
Eritrea,436,244,97,0.39754098360655737,BS,2022-02
Somalia,14,8,3,0.375,BS,2022-02
Afghanistan,32,17,5,0.29411764705882354,BS,2022-02
China (Volksrepublik),10,8,4,0.5,BS,2022-02
Irak,17,13,6,0.46153846153846156,BS,2022-02
Iran,34,28,4,0.14285714285714285,BS,2022-02
Sri Lanka,60,46,29,0.63043478260869568,BS,2022-02
Syrien,241,143,47,0.32867132867132864,BS,2022-02
Türkei,106,78,19,0.24358974358974358,BS,2022-02
Gesamttotal,2035,1235,373,0.30202429149797572,FR,2022-02
Äthiopien,25,18,8,0.44444444444444442,FR,2022-02
Eritrea,833,515,172,0.33398058252427182,FR,2022-02
Somalia,40,22,3,0.13636363636363635,FR,2022-02
Afghanistan,143,86,18,0.20930232558139536,FR,2022-02
China (Volksrepublik),22,15,6,0.4,FR,2022-02
Irak,66,43,10,0.23255813953488372,FR,2022-02
Iran,31,23,9,0.39130434782608697,FR,2022-02
Sri Lanka,159,111,41,0.36936936936936937,FR,2022-02
Syrien,442,224,62,0.2767857142857143,FR,2022-02
Türkei,129,88,13,0.14772727272727273,FR,2022-02
Gesamttotal,3394,2081,379,0.18212397885631909,GE,2022-02
Äthiopien,64,36,8,0.22222222222222221,GE,2022-02
Eritrea,1202,738,158,0.21409214092140921,GE,2022-02
Somalia,87,52,13,0.25,GE,2022-02
Afghanistan,308,186,34,0.18279569892473119,GE,2022-02
China (Volksrepublik),20,13,5,0.38461538461538464,GE,2022-02
Irak,107,65,10,0.15384615384615385,GE,2022-02
Iran,88,69,7,0.10144927536231885,GE,2022-02
Sri Lanka,168,112,40,0.35714285714285715,GE,2022-02
Syrien,583,316,50,0.15822784810126583,GE,2022-02
Türkei,387,246,11,4.4715447154471545E-2,GE,2022-02
Gesamttotal,286,182,105,0.57692307692307687,GL,2022-02
Äthiopien,2,2,2,1,GL,2022-02
Eritrea,118,75,51,0.68,GL,2022-02
Afghanistan,8,5,2,0.4,GL,2022-02
China (Volksrepublik),5,4,3,0.75,GL,2022-02
Iran,2,2,1,0.5,GL,2022-02
Sri Lanka,46,29,21,0.72413793103448276,GL,2022-02
Syrien,64,39,21,0.53846153846153844,GL,2022-02
Türkei,35,22,2,9.0909090909090912E-2,GL,2022-02
Gesamttotal,1198,724,329,0.45441988950276241,GR,2022-02
Äthiopien,4,2,2,1,GR,2022-02
Eritrea,505,302,181,0.59933774834437081,GR,2022-02
Somalia,15,8,4,0.5,GR,2022-02
Afghanistan,69,45,14,0.31111111111111112,GR,2022-02
China (Volksrepublik),13,7,5,0.7142857142857143,GR,2022-02
Irak,38,24,10,0.41666666666666669,GR,2022-02
Iran,20,14,4,0.2857142857142857,GR,2022-02
Sri Lanka,112,72,46,0.63888888888888884,GR,2022-02
Syrien,265,145,46,0.31724137931034485,GR,2022-02
Türkei,122,83,7,8.4337349397590355E-2,GR,2022-02
Gesamttotal,633,378,128,0.33862433862433861,JU,2022-02
Äthiopien,2,2,0,0,JU,2022-02
Eritrea,256,146,54,0.36986301369863012,JU,2022-02
Somalia,4,4,2,0.5,JU,2022-02
Afghanistan,39,24,8,0.33333333333333331,JU,2022-02
China (Volksrepublik),6,3,2,0.66666666666666663,JU,2022-02
Irak,3,1,0,0,JU,2022-02
Iran,8,6,2,0.33333333333333331,JU,2022-02
Sri Lanka,53,33,14,0.42424242424242425,JU,2022-02
Syrien,157,96,32,0.33333333333333331,JU,2022-02
Türkei,67,38,4,0.10526315789473684,JU,2022-02
Gesamttotal,2878,1805,890,0.49307479224376732,LU,2022-02
Äthiopien,18,15,10,0.66666666666666663,LU,2022-02
Eritrea,1268,775,436,0.56258064516129036,LU,2022-02
Somalia,49,31,11,0.35483870967741937,LU,2022-02
Afghanistan,120,82,34,0.41463414634146339,LU,2022-02
China (Volksrepublik),41,27,19,0.70370370370370372,LU,2022-02
Irak,43,25,14,0.56000000000000005,LU,2022-02
Iran,62,46,20,0.43478260869565216,LU,2022-02
Sri Lanka,249,170,109,0.64117647058823535,LU,2022-02
Syrien,564,332,131,0.39457831325301207,LU,2022-02
Türkei,315,220,65,0.29545454545454547,LU,2022-02
Gesamttotal,1410,821,304,0.37028014616321558,NE,2022-02
Äthiopien,10,9,5,0.55555555555555558,NE,2022-02
Eritrea,590,331,136,0.41087613293051362,NE,2022-02
Somalia,66,29,10,0.34482758620689657,NE,2022-02
Afghanistan,112,65,23,0.35384615384615387,NE,2022-02
China (Volksrepublik),15,9,7,0.77777777777777779,NE,2022-02
Irak,18,12,2,0.16666666666666666,NE,2022-02
Iran,10,9,1,0.1111111111111111,NE,2022-02
Sri Lanka,128,83,49,0.59036144578313254,NE,2022-02
Syrien,322,178,50,0.2808988764044944,NE,2022-02
